epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1,epoch_time
1,0.6458678528499603,77.986,77.7472824982141,0.5267839430809022,80.67,79.76157880185538,23.00490665435791
2,0.4216923740196228,85.138,85.07762761212675,0.35920553407669065,86.99,86.77264034916,22.06696653366089
3,0.37072900954246524,86.80799999999999,86.77228284830053,0.3846911581993103,85.7,85.80339638936823,21.347986698150635
4,0.33692940201759336,87.938,87.90064053083567,0.30892945957183837,88.97,88.81763410786883,20.83095669746399
5,0.312577723865509,88.902,88.87841865227986,0.29751439871788027,89.3,89.09507567002339,20.590256929397583
6,0.29229286115646363,89.59,89.567961202906,0.3219696804761887,88.61,88.2703091513875,20.58858847618103
7,0.27277860129356385,90.278,90.26087635666602,0.2823603788137436,89.68,89.73547494976441,20.768176555633545
8,0.25851738721847534,90.792,90.78041518514105,0.2722611278772354,90.05,90.09388361143618,20.570871114730835
9,0.24704327236175538,91.168,91.1540333687443,0.2567665529727936,90.59,90.60422135391775,20.62738847732544
10,0.2381511916065216,91.542,91.53568744153736,0.25219900455474853,90.95,90.92977613494983,20.310130834579468
