epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1,epoch_time
1,0.5581088294935227,79.94200000000001,79.8118069253049,0.4003256648540497,85.11999999999999,84.8660021761921,19.974747896194458
2,0.41545400104522706,84.788,84.6774415774046,0.35753635721206667,86.42999999999999,86.15693302390872,19.813194274902344
3,0.36943295382499697,86.424,86.33410948966456,0.35891484627723697,86.64,86.39393910856063,19.96607780456543
4,0.33967248157501223,87.57000000000001,87.5017351184981,0.3337747018814087,87.5,87.38156636364064,20.358688354492188
5,0.31493292215824126,88.256,88.18961957846712,0.3261468133687973,88.14,88.01089621611689,20.821673154830933
6,0.29067868846893313,89.134,89.0809868482638,0.310176385641098,88.35,88.2201918274645,19.927833318710327
7,0.26956817496299745,89.968,89.92849871666147,0.3000455335855484,88.94999999999999,88.88862851816926,19.878072261810303
8,0.2509285045647621,90.668,90.62942249181793,0.2885938503742218,89.31,89.24222043567684,20.251814365386963
9,0.23854507223606108,90.99199999999999,90.96024849101539,0.28603570108413695,89.31,89.28113888278686,20.64489459991455
10,0.22932365297317506,91.458,91.43095602613232,0.28413429551124575,89.42999999999999,89.36366459784202,19.94977903366089
