epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1,epoch_time
1,0.5659456674957275,80.16,80.03175799719287,0.4827099455833435,83.38,83.11124588252426,22.01331400871277
2,0.4541512331199646,84.202,84.13296045388101,0.4512301155090332,84.41,84.3252191825034,21.412986278533936
3,0.4330986920452118,84.844,84.77825829228244,0.4571189581871033,84.09,83.94421844263691,20.651993989944458
4,0.4198424454689026,85.368,85.30130073276374,0.44450655102729797,84.37,84.29348927304684,20.412312030792236
5,0.4080876568722725,85.914,85.8495150523998,0.4243692434310913,85.06,84.93229390096631,20.40987515449524
6,0.3995201234745979,86.146,86.07625866587853,0.44163117876052854,84.82,84.680307160886,20.432793140411377
7,0.39123261938095094,86.446,86.38255380205328,0.4244715464115143,85.31,85.03759640112953,20.642115354537964
8,0.3845987736225128,86.598,86.529535452513,0.4209576650619507,85.33,85.18869470200113,21.48439860343933
9,0.3802898226928711,86.88,86.80534153190924,0.417670561170578,85.33,85.29921280806668,21.115158319473267
10,0.377157801361084,86.92,86.85729079090451,0.41657479581832885,85.49,85.40772904285836,21.141870737075806
